City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
239,Cabo San Lucas,MX,few clouds,78.8,22.89,-109.91,Hotel Tesoro Los Cabos
240,Kantemirovka,RU,broken clouds,50.2,49.71,39.86,Premier Hotel
241,Koutiala,ML,broken clouds,75.78,12.39,-5.46,Hotel Campement Poule Verte
243,Bāglung,NP,scattered clouds,75.67,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
244,Tessalit,ML,scattered clouds,73.53,20.2,1.01,
247,São Félix do Xingu,BR,light rain,72.82,-6.64,-51.99,Apart Hotel Rio Xingu
251,Ubari,LY,clear sky,56.7,26.59,12.78,فندق أوباري
253,Presidencia Roque Sáenz Peña,AR,clear sky,64.99,-26.79,-60.44,Hotel Aconcagua
256,Port Macquarie,AU,scattered clouds,77.0,-31.43,152.92,Rydges Port Macquarie
257,Nouadhibou,MR,clear sky,68.0,20.93,-17.03,El Medina
259,Ritchie,ZA,moderate rain,57.2,-29.04,24.6,Riverside country club
260,Sambava,MG,clear sky,68.14,-14.27,50.17,Melrose
262,Adeje,ES,clear sky,77.0,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
263,Puerto Escondido,MX,clear sky,79.02,15.85,-97.07,Aldea del Bazar Hotel and Spa
265,Nizip,TR,clear sky,57.2,37.01,37.79,gümüş apart
266,Fort Smith,US,clear sky,50.0,35.39,-94.4,Hampton Inn Fort Smith
267,Santa Cruz de Barahona,DO,overcast clouds,79.12,18.21,-71.1,Hotel Caribe
268,Batavia,US,overcast clouds,54.0,41.85,-88.31,Comfort Inn & Suites Geneva - West Chicago
269,Kawalu,ID,clear sky,85.86,-7.38,108.21,KOSAN UNGU UNSIK
271,Pitimbu,BR,few clouds,78.8,-7.47,-34.81,Reserva do Abiaí
272,St. George's,GD,few clouds,80.6,12.06,-61.75,Siesta Hotel
273,Jalu,LY,clear sky,62.37,29.03,21.55,Jalu Hotel
277,Yala,TH,few clouds,86.0,6.33,101.25,งานแต่ง Murnee - Wahid
278,Shimoda,JP,broken clouds,62.6,34.67,138.95,Shimoda Tokyu Hotel
280,Corn Island,NI,overcast clouds,81.75,12.17,-83.04,Big Fish Guest House
282,San Jose,US,clear sky,68.0,37.34,-121.89,The Westin San Jose
283,Celestún,MX,overcast clouds,77.07,20.87,-90.4,Posada Lilia
284,Kahului,US,scattered clouds,86.0,20.89,-156.47,Maui Seaside Hotel
285,Vila Velha,BR,overcast clouds,69.8,-20.33,-40.29,Hotel Vitória Palace
286,Trofors,NO,overcast clouds,50.0,65.53,13.41,Hause for Marcus and Martinus
288,General Pico,AR,few clouds,55.63,-35.66,-63.76,Hotel Malargue
290,Boa Vista,BR,moderate rain,82.4,2.82,-60.67,Aipana Plaza Hotel
292,Shenjiamen,CN,scattered clouds,69.53,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
293,Formosa,AR,clear sky,64.4,-26.18,-58.18,Asterión Hotel
294,Igurusi,TZ,clear sky,60.42,-8.85,33.85,Dadi Lodge
295,Fare,PF,clear sky,80.06,-16.7,-151.02,Maitai Lapita Village Huahine
296,Samarai,PG,overcast clouds,83.19,-10.62,150.67,Nuli Sapi
297,Antalaha,MG,broken clouds,68.05,-14.9,50.28,Hotel Vitasoa
298,Flinders,AU,overcast clouds,63.0,-34.58,150.86,Shellharbour Resort & Conference Centre
299,Qui Nhon,VN,light rain,79.11,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
302,Talcahuano,CL,overcast clouds,53.6,-36.72,-73.12,Hotel Terramar
303,Camacha,PT,few clouds,66.2,33.08,-16.33,Hotel Porto Santo & Spa
304,Birao,CF,clear sky,73.6,10.28,22.79,
305,Puerto Carreño,CO,moderate rain,77.9,6.19,-67.49,Casa Hotel Victoria
306,Shiloh,US,clear sky,53.01,38.56,-89.9,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
309,Cervo,ES,overcast clouds,62.01,43.67,-7.41,Hotel Spa Galatea
310,Mossamedes,AO,light rain,75.02,-15.2,12.15,Hotel Chik Chik Namibe
314,Cabreúva,BR,scattered clouds,64.99,-23.31,-47.13,Unahy Cabreúva
315,Buta,CD,overcast clouds,70.18,2.79,24.73,HOTEL BISO NA BISO
317,Luba,GQ,few clouds,75.2,3.46,8.55,
319,Matamoros,MX,clear sky,75.2,25.53,-103.25,Recreativo Sabdy Briseidy
320,Hamilton,US,overcast clouds,51.01,39.18,-84.53,Six Acres Bed & Breakfast
321,Los Llanos de Aridane,ES,clear sky,75.2,28.66,-17.92,Valle Aridane
322,Muncar,ID,scattered clouds,86.79,-8.43,114.33,Zaky Homestay
